Date,stock_price,interest_rate
1/3/22,1199.780029,1.628
1/4/22,1149.589966,1.668
1/5/22,1088.119995,1.705
1/6/22,1064.699951,1.733
1/7/22,1026.959961,1.771
1/10/22,1058.119995,1.78
1/11/22,1064.400024,1.746
1/12/22,1106.219971,1.725
1/13/22,1031.560059,1.711
1/14/22,1049.609985,1.772
1/18/22,1030.51001,1.865
1/19/22,995.650024,1.827
1/20/22,996.27002,1.833
1/21/22,943.900024,1.747
1/24/22,930,1.735
1/25/22,918.400024,1.783
1/26/22,937.409973,1.848
1/27/22,829.099976,1.807
1/28/22,846.349976,1.782
1/31/22,936.719971,1.782
2/1/22,931.25,1.8
2/2/22,905.659973,1.766
2/3/22,891.140015,1.827
2/4/22,923.320007,1.93
2/7/22,907.340027,1.916
2/8/22,922,1.954
2/9/22,932,1.929
2/10/22,904.549988,2.031
2/11/22,860,1.955
2/14/22,875.76001,1.996
2/15/22,922.429993,2.045
2/16/22,923.390015,2.047
2/17/22,876.349976,1.972
2/18/22,856.97998,1.932
2/22/22,821.530029,1.948
2/23/22,764.039978,1.977
2/24/22,800.77002,1.969
2/25/22,809.869995,1.986
2/28/22,870.429993,1.839
3/1/22,864.369995,1.707
3/2/22,879.890015,1.865
3/3/22,839.289978,1.844
3/4/22,838.289978,1.724
3/7/22,804.580017,1.751
3/8/22,824.400024,1.872
3/9/22,858.969971,1.948
3/10/22,838.299988,2.011
3/11/22,795.349976,2.004
3/14/22,766.369995,2.14
3/15/22,801.890015,2.16
3/16/22,840.22998,2.188
3/17/22,871.599976,2.192
3/18/22,905.390015,2.148
3/21/22,921.159973,2.315
3/22/22,993.97998,2.373
3/23/22,999.109985,2.321
3/24/22,1013.919983,2.341
3/25/22,1010.640015,2.492
3/28/22,1091.839966,2.477
3/29/22,1099.569946,2.4
3/30/22,1093.98999,2.358
3/31/22,1077.599976,2.327
4/1/22,1084.589966,2.377
4/4/22,1145.449951,2.412
4/5/22,1091.26001,2.556
4/6/22,1045.76001,2.609
4/7/22,1057.26001,2.652
4/8/22,1025.48999,2.713
4/11/22,975.929993,2.78
4/12/22,986.950012,2.725
4/13/22,1022.369995,2.687
4/14/22,985,2.828
4/18/22,1004.289978,2.862
4/19/22,1028.150024,2.913
4/20/22,977.200012,2.84
4/21/22,1008.780029,2.917
4/22/22,1005.049988,2.906
4/25/22,998.02002,2.826
4/26/22,876.419983,2.772
4/27/22,881.51001,2.818
4/28/22,877.51001,2.863
4/29/22,870.76001,2.887
5/2/22,902.940002,2.996
5/3/22,909.25,2.96
5/4/22,952.619995,2.917
5/5/22,873.280029,3.066
5/6/22,865.650024,3.123
5/9/22,787.109985,3.079
5/10/22,800.039978,2.993
5/11/22,734,2.921
5/12/22,728,2.817
5/13/22,769.590027,2.935
5/16/22,724.369995,2.877
5/17/22,761.609985,2.968
5/18/22,709.809998,2.886
5/19/22,709.419983,2.855
5/20/22,663.900024,2.787
5/23/22,674.900024,2.859
5/24/22,628.159973,2.76
5/25/22,658.799988,2.749
5/26/22,707.72998,2.756
5/27/22,759.630005,2.743
5/31/22,758.26001,2.844
6/1/22,740.369995,2.931
6/2/22,775,2.913
6/3/22,703.549988,2.957
6/6/22,714.840027,3.038
6/7/22,716.659973,2.972
6/8/22,725.599976,3.029
6/9/22,719.119995,3.044
6/10/22,696.690002,3.156
6/13/22,647.210022,3.366
6/14/22,662.669983,3.483
6/15/22,699,3.395
6/16/22,639.299988,3.307
6/17/22,650.280029,3.239
6/21/22,711.109985,3.307
6/22/22,708.26001,3.156
6/23/22,705.210022,3.068
6/24/22,737.119995,3.125
6/27/22,734.76001,3.194
6/28/22,697.98999,3.206
6/29/22,685.469971,3.093
6/30/22,673.419983,2.972
7/1/22,681.789978,2.889
7/5/22,699.200012,2.809
7/6/22,695.200012,2.913
7/7/22,733.630005,3.008
7/8/22,752.289978,3.101
7/11/22,703.030029,2.991
7/12/22,699.210022,2.958
7/13/22,711.119995,2.904
7/14/22,714.940002,2.96
7/15/22,720.200012,2.93
7/18/22,721.640015,2.96
7/19/22,736.590027,3.019
7/20/22,742.5,3.036
7/21/22,815.119995,2.91
7/22/22,816.72998,2.783
7/25/22,805.299988,2.82
7/26/22,776.580017,2.787
7/27/22,824.460022,2.734
7/28/22,842.700012,2.681
7/29/22,891.450012,2.642